"scenario","n_sims","rej_rmst_2s","rej_ph_2s","rej_rmst_1s","rej_ph_1s","mc_se"
"1: Low/Instant",10000,0.0468,0.0452,0.0234,0.0246,0.0022
"2: Low/Fast",10000,0.0471,0.0503,0.0226,0.0249,0.0022
"3: Low/Moderate",10000,0.0503,0.0502,0.0253,0.0253,0.0022
"4: Low/Slow",10000,0.0508,0.0509,0.0246,0.0251,0.0022
"5: Mod/Instant",10000,0.0464,0.0472,0.023,0.023,0.0022
"6: Mod/Fast",10000,0.0527,0.0518,0.026,0.0256,0.0022
"7: Mod/Moderate",10000,0.0477,0.0474,0.0226,0.0221,0.0022
"8: Mod/Slow",10000,0.0501,0.0495,0.023,0.023,0.0022
"9: High/Instant",10000,0.0567,0.0534,0.0258,0.0245,0.0022
"10: High/Fast",10000,0.0518,0.0499,0.0247,0.0254,0.0022
"11: High/Moderate",10000,0.0482,0.0479,0.0223,0.0232,0.0022
"12: High/Slow",10000,0.0543,0.052,0.027,0.0262,0.0022
